,Province_State,Country_Region,Last_Update,Lat,Lng,Confirmed,Deaths,Recovered,Active,Incident_Rate
248,Kentucky,US,2020-06-30 04:33:48,38.69158994,-84.08532444,17,0,0,17,204.74527279296643
249,Florida,US,2020-06-30 04:33:48,29.95079741,-82.16611613,83,2,0,81,294.3158044040992
250,Pennsylvania,US,2020-06-30 04:33:48,41.78869215,-76.51570822,56,3,0,53,92.83357923180212
251,Arkansas,US,2020-06-30 04:33:48,33.46755808,-92.15980837,51,2,0,49,473.8455820867788
252,Tennessee,US,2020-06-30 04:33:48,35.15739424,-84.857186,493,3,0,490,456.01701970215515
253,Michigan,US,2020-06-30 04:33:48,41.91600556,-85.05929476,257,2,0,255,590.573798745318
254,Georgia,US,2020-06-30 04:33:48,31.19576557,-81.97743999,85,2,0,83,444.8165785755404
255,West Virginia,US,2020-06-30 04:33:48,38.70036159,-80.72011184,4,0,0,4,28.659454037400586
256,Texas,US,2020-06-30 04:33:48,29.18757369,-95.44563172,2217,21,0,2196,592.3626103499134
257,Texas,US,2020-06-30 04:33:48,30.663644800000004,-96.30205577,1822,29,0,1793,794.9007682877349
258,Kentucky,US,2020-06-30 04:33:48,37.52333168,-83.31959161,8,0,0,8,63.34125098970705
259,Kentucky,US,2020-06-30 04:33:48,37.77377239,-86.42885017,24,2,0,22,117.2046686526347
260,Iowa,US,2020-06-30 04:33:48,42.77461496,-92.31795937,87,6,0,81,347.1390950442902
261,Florida,US,2020-06-30 04:33:48,28.29409504,-80.73091022,1716,17,0,1699,285.07729980629364
262,Texas,US,2020-06-30 04:33:48,29.81008251,-103.2520326,85,0,0,85,923.6118656959687
263,Texas,US,2020-06-30 04:33:48,34.53026962,-101.2084947,2,0,0,2,129.36610608020698
